date,day_idx,replacement_type,would_be_victim,would_be_victim_score,would_be_victim_entry_date,would_be_victim_entry_day_idx,would_be_victim_mtm_pnl_at_review,incoming_code,incoming_score,stability_score,final_pnl,foregone_gain_from_review_point,still_held_at_end
2019-11-22,1232,LOW_PARTIAL_EVICT,US.AMGN,68.59,2019-10-31,1216,232.28,US.REGN,86.9,0.42709431073914084,153.34,-78.94,False
2019-12-12,1245,LOW_PARTIAL_EVICT,US.MDLZ,67.55,2019-12-05,1240,-43.42,US.MU,100.0,0.14091870044919808,-32.56,10.86,False
2019-12-16,1247,FULL_DOWNGRADE_REPLACE,US.MNST,86.27,2019-12-10,1243,50.47,US.TSLA,100.0,0.1350052781947934,111.56,61.09,False
2020-04-14,1328,OBSERVATION_EVICT,US.SPY,44.87,2020-04-09,1326,20.5,US.CDNS,94.95,,21.15,0.6499999999999986,False
2020-04-17,1331,FULL_DOWNGRADE_REPLACE,US.NFLX,80.6,2020-04-13,1327,280.77,US.REGN,100.0,0.06298936533401268,999.05,718.28,False
2020-04-28,1338,OBSERVATION_EVICT,US.META,41.8,2020-04-22,1334,2.5,US.CPRT,90.2,,276.94,274.44,False
2020-04-28,1338,LOW_PARTIAL_EVICT,US.TTD,60.54,2020-04-23,1335,11.91,US.CPRT,90.2,0.00023558658646389264,1556.06,1544.1499999999999,False
2020-05-05,1343,LOW_PARTIAL_EVICT,US.AAPL,60.33,2020-04-30,1340,34.49,US.TEAM,80.99,0.05123274150658888,1538.34,1503.85,False
2020-11-04,1471,OBSERVATION_EVICT,US.PDD,40.18,2020-11-03,1470,150.48,US.GOOGL,100.0,,476.91,326.43000000000006,False
2020-11-18,1481,FULL_DOWNGRADE_REPLACE,US.ADP,83.29,2020-10-28,1466,734.0,US.TSLA,100.0,0.42778936110179056,335.75,-398.25,False
2021-01-19,1521,FULL_DOWNGRADE_REPLACE,US.ASML,83.68,2021-01-04,1511,572.83,US.MRVL,100.0,0.3151096177495441,115.69,-457.14000000000004,False
2021-03-26,1568,OBSERVATION_EVICT,US.ORLY,40.73,2021-03-05,1553,149.93,US.ASML,100.0,,537.52,387.59,False
2021-03-26,1568,LOW_PARTIAL_EVICT,US.META,61.03,2021-03-19,1563,-112.45,US.ASML,100.0,0.09118122057196067,564.7,677.1500000000001,False
2021-06-10,1620,LOW_PARTIAL_EVICT,US.META,60.48,2021-06-07,1617,-69.43,US.ADBE,100.0,0.06755434383020596,-77.89,-8.459999999999994,False
2021-07-02,1636,FULL_DOWNGRADE_REPLACE,US.FANG,80.75,2021-07-01,1635,-101.47,US.AAPL,100.0,0.01928610005215765,-561.44,-459.97,False
2022-03-17,1814,OBSERVATION_EVICT,US.VRTX,44.14,2022-03-16,1813,5.92,US.DXCM,82.44,,32.22,26.299999999999997,False
2022-03-25,1820,OBSERVATION_EVICT,US.NVDA,41.0,2022-03-21,1816,50.62,US.EXC,93.08,,-124.25,-174.87,False
2022-03-25,1820,LOW_PARTIAL_EVICT,US.CTAS,66.79,2022-03-16,1813,273.27,US.EXC,93.08,0.1647815768097562,-53.3,-326.57,False
2022-04-04,1826,LOW_PARTIAL_EVICT,US.DXCM,64.41,2022-04-01,1825,-81.99,US.INTU,87.59,0.017355394744798282,-236.98,-154.99,False
2022-04-07,1829,FULL_DOWNGRADE_REPLACE,US.XEL,80.87,2022-04-06,1828,-35.83,US.COST,100.0,0.031455406346608566,-72.01,-36.18000000000001,False
2022-05-27,1864,OBSERVATION_EVICT,US.AMGN,41.33,2022-05-25,1862,13.9,US.CEG,100.0,,-30.76,-44.660000000000004,False
2022-07-19,1898,OBSERVATION_EVICT,US.ROST,45.61,2022-07-18,1897,25.53,US.CPRT,95.0,,367.0,341.47,False
2022-07-19,1898,LOW_PARTIAL_EVICT,US.MU,60.56,2022-07-15,1896,51.21,US.CPRT,95.0,0.028679780540993034,-184.51,-235.72,False
2022-08-10,1914,LOW_PARTIAL_EVICT,US.ORLY,61.11,2022-07-06,1889,405.59,US.TTD,100.0,0.40986704623203735,341.75,-63.839999999999975,False
2022-10-24,1966,LOW_PARTIAL_EVICT,US.GILD,67.98,2022-10-21,1965,66.14,US.ORLY,100.0,0.025368168039128534,1044.48,978.34,False
2023-01-26,2030,LOW_PARTIAL_EVICT,US.CPRT,64.18,2023-01-25,2029,48.79,US.TSLA,100.0,0.022885109671078516,1435.13,1386.3400000000001,False
2023-03-16,2064,OBSERVATION_EVICT,US.CDNS,41.16,2023-03-14,2062,17.2,US.GOOG,100.0,,122.66,105.46,False
2023-04-27,2093,LOW_PARTIAL_EVICT,US.MSFT,63.77,2023-04-26,2092,82.99,US.MDLZ,100.0,0.022160646314810115,179.76,96.77,False
2023-05-09,2101,FULL_DOWNGRADE_REPLACE,US.ABNB,82.3,2023-05-08,2100,42.6,US.PLTR,100.0,0.02443009942016239,-377.2,-419.8,False
2023-07-11,2143,FULL_DOWNGRADE_REPLACE,US.FTNT,86.62,2023-07-10,2142,21.62,US.EA,100.0,0.02947855854105523,18.88,-2.740000000000002,False
2023-08-03,2160,OBSERVATION_EVICT,US.KDP,45.28,2023-08-02,2159,-13.6,US.REGN,100.0,,-51.65,-38.05,False
2023-08-29,2178,LOW_PARTIAL_EVICT,US.REGN,62.81,2023-08-11,2166,69.15,US.INTU,100.0,0.2777154337265608,73.28,4.1299999999999955,False
2023-09-20,2193,LOW_PARTIAL_EVICT,US.VRTX,62.17,2023-09-19,2192,-59.5,US.XEL,98.76,0.025167971687428795,-90.8,-31.299999999999997,False
2023-10-09,2206,OBSERVATION_EVICT,US.FAST,45.68,2023-10-06,2205,6.39,US.PLTR,94.21,,272.93,266.54,False
2023-11-02,2224,LOW_PARTIAL_EVICT,US.NFLX,60.35,2023-10-19,2214,197.28,US.SBUX,100.0,0.1657717696490459,1310.24,1112.96,False
2025-04-29,2595,OBSERVATION_EVICT,US.TTWO,40.52,2025-04-25,2593,58.63,US.OKTA,100.0,,-126.31,-184.94,False
2025-04-29,2595,LOW_PARTIAL_EVICT,US.CRWD,63.43,2025-04-25,2593,137.48,US.OKTA,100.0,0.02196741330508847,-6.86,-144.34,False
2025-05-02,2598,OBSERVATION_EVICT,US.FTNT,42.94,2025-04-25,2593,113.88,US.EA,97.17,,-134.85,-248.73,False
2025-05-07,2601,OBSERVATION_EVICT,US.OKTA,41.34,2025-05-06,2600,18.24,US.VRSK,100.0,,-227.05,-245.29000000000002,False
2025-09-08,2685,OBSERVATION_EVICT,US.CEG,47.24,2025-04-25,2593,989.23,US.GEHC,100.0,,1104.91,115.68000000000006,False
2025-09-08,2685,LOW_PARTIAL_EVICT,US.GOOGL,64.78,2025-09-05,2684,-11.23,US.GEHC,100.0,0.02278384654817351,959.26,970.49,False
2025-12-10,2751,LOW_PARTIAL_EVICT,US.KDP,61.8,2025-12-08,2749,66.22,US.QCOM,92.14,0.046518523793454204,-185.09,-251.31,False
