date,day_idx,replacement_from,replacement_to,victim_score,incoming_score,score_delta,holding_days_before_replacement,victim_pnl,replacement_type,replacement_stability_score,incoming_final_pnl,incoming_closed
2023-01-26,2030,US.ASML,US.TSLA,50.21,100.0,49.79,1,1.63,OBSERVATION_EVICT,,-133.48,True
2023-01-26,2030,US.CPRT,US.PDD,64.18,100.0,35.82,1,41.05,LOW_PARTIAL_EVICT,0.022885109671078516,-319.5,True
2023-03-03,2055,US.LIN,US.OKTA,41.39,93.11,51.72,5,27.33,OBSERVATION_EVICT,,-220.85,True
2023-03-16,2064,US.AMD,US.GOOG,57.82,100.0,42.18,1,54.59,OBSERVATION_EVICT,,727.55,True
2023-03-16,2064,US.META,US.GOOGL,68.23,90.98,22.75,2,148.57,LOW_PARTIAL_EVICT,0.03749667029005117,727.54,True
2023-04-27,2093,US.SBUX,US.META,47.01,100.0,52.99,1,7.54,OBSERVATION_EVICT,,852.81,True
2023-05-03,2097,US.MSFT,US.VRSK,63.77,100.0,36.23,5,76.55,LOW_PARTIAL_EVICT,0.11080323157405057,686.93,True
2023-07-26,2154,US.PEP,US.ADP,50.71,100.0,49.29,4,9.49,OBSERVATION_EVICT,,-218.25,True
2023-07-26,2154,US.CMCSA,US.PAYX,69.14,100.0,30.86,4,-25.9,LOW_PARTIAL_EVICT,0.10998107636210652,-200.79,True
2023-08-03,2160,US.KDP,US.MELI,45.28,100.0,54.72,1,-13.96,OBSERVATION_EVICT,,-153.83,True
2023-08-29,2178,US.SBUX,US.INTU,46.35,100.0,53.65,7,6.79,OBSERVATION_EVICT,,-224.02,True
2023-08-31,2180,US.CEG,US.OKTA,62.12,100.0,37.88,6,-129.22,LOW_PARTIAL_EVICT,0.14457009154985767,-199.98,True
2023-08-31,2180,US.REGN,US.ADBE,62.81,97.86,35.05,14,55.68,LOW_PARTIAL_EVICT,0.3240013393476543,-185.87,True
2023-09-01,2181,US.ROST,US.FANG,69.3,99.84,30.54,10,92.95,LOW_PARTIAL_EVICT,0.2606142472629948,13.98,True
2023-10-09,2206,US.FAST,US.PLTR,45.68,94.21,48.53,1,5.49,OBSERVATION_EVICT,,-237.77,True
2023-10-10,2207,US.PCAR,US.EA,47.12,100.0,52.88,2,-9.3,OBSERVATION_EVICT,,-231.22,True
2023-10-12,2209,US.META,US.AVGO,52.28,100.0,47.72,4,25.0,OBSERVATION_EVICT,,-168.62,True
2023-11-02,2224,US.DXCM,US.AEP,49.77,100.0,50.23,1,-6.09,OBSERVATION_EVICT,,-40.47,True
2023-11-03,2225,US.QCOM,US.GEHC,50.81,100.0,49.19,6,52.01,OBSERVATION_EVICT,,-219.04,True
2023-11-03,2225,US.LIN,US.MNST,52.38,100.0,47.62,30,18.51,OBSERVATION_EVICT,,-34.66,True
2023-12-06,2247,US.AAPL,US.FAST,44.76,100.0,55.24,1,-5.11,OBSERVATION_EVICT,,520.25,True
2023-12-08,2249,US.TMUS,US.ARM,52.6,82.79,30.19,26,90.85,OBSERVATION_EVICT,,-188.4,True
2023-12-18,2255,US.NFLX,US.AMZN,60.35,100.0,39.65,41,754.77,LOW_PARTIAL_EVICT,0.3315435392980918,-241.11,True
2023-12-19,2256,US.MELI,US.APP,64.34,100.0,35.66,33,985.05,LOW_PARTIAL_EVICT,0.3504872445342766,-220.33,True
2023-12-28,2262,US.FTNT,US.ARM,60.28,91.65,31.37,3,4.02,LOW_PARTIAL_EVICT,0.0616429129755858,-499.9,True
2024-01-23,2278,US.VRTX,US.PCAR,47.71,100.0,52.29,12,46.22,OBSERVATION_EVICT,,566.0,True
2024-01-25,2280,US.TEAM,US.CMCSA,69.45,100.0,30.55,26,174.55,LOW_PARTIAL_EVICT,0.3978656644891006,-231.53,True
2024-02-26,2301,US.AEP,US.CPRT,45.73,93.03,47.3,3,-22.5,OBSERVATION_EVICT,,53.04,True
2024-04-29,2345,US.AEP,US.TSLA,43.92,100.0,56.08,2,-3.07,OBSERVATION_EVICT,,-186.21,True
2024-05-24,2364,US.VRTX,US.ROST,40.61,100.0,59.39,1,11.39,OBSERVATION_EVICT,,-61.5,True
2025-04-29,2595,US.TTWO,US.OKTA,40.52,100.0,59.48,2,61.19,OBSERVATION_EVICT,,-652.98,True
