date,code,side,qty,price,pnl,reason,strategy,entry_date,fee
2019-01-07,US.TEAM,BUY,11,12979.4,,SIGNAL,atr_breakout,,
2019-01-07,US.BKR,BUY,56,2582.70137874,,SIGNAL,atr_breakout,,
2019-01-08,US.PDD,BUY,141,3360.0,,SIGNAL,atr_breakout,,
2019-01-22,US.SHG,SELL,49,4274.7560947,4989.15,STRAT_EXIT,boll_mr,2018-12-10,413.73
2019-01-22,US.TEAM,SELL,11,12330.429999999998,-7274.3,STOP_LOSS,atr_breakout,2019-01-07,278.41
2019-01-22,US.SBUX,BUY,17,7770.7525258999995,,SIGNAL,atr_breakout,,
2019-01-22,US.VRSK,BUY,8,15479.981227620001,,SIGNAL,atr_breakout,,
2019-01-29,US.VRSK,SELL,8,15470.66395602,-198.3,STRAT_EXIT,atr_breakout,2019-01-22,247.61
2019-01-29,US.FAST,BUY,78,1734.2180695,,SIGNAL,atr_breakout,,
2019-02-05,US.QQQ,BUY,76,22771.46627014,,QQQ_BETA_FLOOR,core_etf,,
2019-02-06,US.EA,SELL,45,10897.65019504,-45610.82,STOP_LOSS,atr_breakout,2019-01-07,1025.91
2019-02-06,US.QQQ,SELL,76,22703.257952339998,-6909.28,MA200_BREAK,core_etf,2019-02-05,3456.08
2019-02-06,US.ASML,BUY,27,23476.71148088,,SIGNAL,atr_breakout,,
2019-02-08,US.ASML,SELL,27,22302.875906835998,-32295.74,STOP_LOSS,atr_breakout,2019-02-06,1236.05
2019-02-08,US.EA,BUY,48,13260.32488522,,SIGNAL,atr_breakout,,
2019-02-12,US.KEP,SELL,440,2010.7211103,122468.13,STRAT_EXIT,atr_breakout,2018-11-26,1646.08
2019-02-12,US.ORLY,BUY,187,3532.57335088,,SIGNAL,atr_breakout,,
2019-02-14,US.QQQ,BUY,76,22796.87721192,,QQQ_BETA_FLOOR,core_etf,,
2019-02-21,US.REGN,SELL,3,58126.706691060004,8602.53,STRAT_EXIT,atr_breakout,2019-01-04,339.98
2019-02-21,US.CPRT,BUY,222,1978.55,,SIGNAL,atr_breakout,,
2019-03-07,US.QQQ,SELL,76,22824.96298978,399.82,MA200_BREAK,core_etf,2019-02-14,3467.26
2019-03-11,US.QQQ,BUY,75,23266.31092772,,QQQ_BETA_FLOOR,core_etf,,
2019-03-20,US.FAST,SELL,78,1824.2203184799998,6877.89,STRAT_EXIT,atr_breakout,2019-01-29,277.56
2019-03-20,US.GOOG,BUY,48,8492.91008566,,SIGNAL,atr_breakout,,
2019-03-22,US.PDD,SELL,141,3246.559083243432,-16452.93,ATR_TRAIL,atr_breakout,2019-01-08,931.52
2019-03-22,US.AEP,BUY,45,9071.69199916,,SIGNAL,atr_breakout,,
2019-03-27,US.GOOG,SELL,48,8068.264581377,-20770.26,STOP_LOSS,atr_breakout,2019-03-20,794.94
2019-03-27,US.ADP,BUY,4,18728.100285160002,,SIGNAL,atr_breakout,,
2019-04-05,US.NFLX,SELL,42,5116.86,39722.05,STRAT_EXIT,atr_breakout,2019-01-04,389.88
2019-04-05,US.ASML,BUY,12,25412.323511960003,,SIGNAL,atr_breakout,,
2019-04-08,US.PCAR,SELL,40,4941.9466768,30062.81,STRAT_EXIT,atr_breakout,2019-01-04,365.1
2019-04-08,US.AAPL,BUY,46,6675.30422412,,SIGNAL,atr_breakout,,
2019-04-17,US.EA,SELL,48,12492.69337288,-37445.96,STOP_LOSS,atr_breakout,2019-02-08,1236.14
2019-04-17,US.MRVL,BUY,131,3362.4383494800004,,SIGNAL,atr_breakout,,
2019-04-25,US.ORLY,SELL,187,3491.6260080727316,-8310.09,ATR_TRAIL,atr_breakout,2019-02-12,1313.53
2019-04-25,US.MSFT,BUY,27,16914.35650898,,SIGNAL,atr_breakout,,
2019-04-29,US.AEP,SELL,45,8948.2547329,-5957.35,STRAT_EXIT,atr_breakout,2019-03-22,810.9
2019-04-29,US.GOOGL,BUY,51,8993.6509838,,SIGNAL,atr_breakout,,
2019-04-30,US.BKR,SELL,56,2751.06373024,9274.23,ATR_TRAIL,atr_breakout,2019-01-07,298.69
2019-04-30,US.GOOGL,SELL,51,8318.95369816,-34833.83,STOP_LOSS,atr_breakout,2019-04-29,882.94
2019-04-30,US.NXPI,BUY,35,13139.71941912,,SIGNAL,atr_breakout,,
2019-04-30,US.KDP,BUY,93,3405.2953304999996,,SIGNAL,atr_breakout,,
2019-05-06,US.MRVL,SELL,131,3194.316432006,-22442.43,STOP_LOSS,atr_breakout,2019-04-17,858.93
2019-05-06,US.OKTA,BUY,6,15090.6,,SIGNAL,atr_breakout,,
2019-05-08,US.NXPI,SELL,35,12482.733448164,-23431.4,STOP_LOSS,atr_breakout,2019-04-30,896.79
2019-05-08,US.TEAM,BUY,6,16403.8,,SIGNAL,atr_breakout,,
2019-05-09,US.OKTA,SELL,6,14336.07,-4613.2,STOP_LOSS,atr_breakout,2019-05-06,176.56
2019-05-10,US.ZS,BUY,45,10297.0,,SIGNAL,atr_breakout,,
2019-05-13,US.ASML,SELL,12,24141.707336362,-15537.09,STOP_LOSS,atr_breakout,2019-04-05,594.65
2019-05-13,US.AAPL,SELL,46,6219.44869168,-21255.45,STOP_LOSS,atr_breakout,2019-04-08,593.16
2019-05-13,US.ZS,SELL,45,9532.6,-34826.97,STOP_LOSS,atr_breakout,2019-05-10,892.33
2019-05-13,US.AEP,BUY,56,9284.50436116,,SIGNAL,atr_breakout,,
2019-05-13,US.XEL,BUY,54,6497.6420453,,SIGNAL,atr_breakout,,
2019-05-15,US.PEP,BUY,22,14483.08373372,,SIGNAL,atr_breakout,,
2019-05-17,US.ROST,SELL,14,12687.995528739999,22007.55,STRAT_EXIT,atr_breakout,2019-01-04,333.08
2019-05-17,US.KDP,SELL,93,3427.55216272,1751.12,STRAT_EXIT,atr_breakout,2019-04-30,635.45
2019-05-17,US.LIN,BUY,4,23438.57213124,,SIGNAL,atr_breakout,,
2019-05-20,US.TMUS,BUY,31,10481.5554683,,SIGNAL,atr_breakout,,
2019-05-23,US.ADP,SELL,4,19246.50040782,1996.61,STRAT_EXIT,atr_breakout,2019-03-27,151.9
2019-05-23,US.LIN,SELL,4,22952.43878326,-2036.34,STRAT_EXIT,atr_breakout,2019-05-17,185.56
2019-05-24,US.SHG,BUY,68,4689.59578262,,SIGNAL,atr_breakout,,
2019-05-24,US.INTU,BUY,2,34370.29474564,,SIGNAL,atr_breakout,,
2019-05-31,US.TMUS,SELL,31,9832.23187632,-20433.83,STOP_LOSS,atr_breakout,2019-05-20,629.73
2019-05-31,US.SHG,SELL,68,4421.380467139999,-18539.3,STOP_LOSS,atr_breakout,2019-05-24,619.55
2019-05-31,US.INTU,SELL,2,32651.780008357997,-3502.33,STOP_LOSS,atr_breakout,2019-05-24,134.04
2019-05-31,US.OKTA,BUY,6,15850.8,,SIGNAL,atr_breakout,,
2019-06-03,US.QQQ,SELL,75,22691.196129419997,-44835.45,MA200_BREAK,core_etf,2019-03-11,3446.81
