date,code,side,qty,price,pnl,reason,strategy,trend_score,fundamental_score,news_score,weather_score,total_score,score_label,replacement_from,replacement_score_delta
2021-01-14,US.AMAT,BUY,57,101.067007799,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-01-19,US.MRVL,BUY,110,52.714222576,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-01-22,US.PLTR,BUY,130,32.58,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-01-25,US.PLTR,BUY,116,36.23,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-01-25,US.SMCI,BUY,310,3.47,,SIGNAL,atr_breakout,37.87150726032004,,,100.0,58.58,OBSERVATION,,
2021-01-26,US.DLR,BUY,33,121.034101471,,SIGNAL,atr_breakout,68.4128140134894,,,100.0,78.94,PARTIAL,,
2021-01-27,US.STX,BUY,109,60.783096324,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-01-27,US.DLR,BUY,43,123.789214374,,SIGNAL,atr_breakout,97.13324212798277,,,100.0,98.09,FULL,,
2021-01-28,US.SBUX,BUY,5,86.628198982,,SIGNAL,boll_mr,39.30013658754167,,,100.0,59.53,OBSERVATION,,
2021-01-29,US.WDC,BUY,28,42.445550975,,SIGNAL,atr_breakout,18.57069481694954,,,100.0,45.71,OBSERVATION,,
2021-02-01,US.SLV,BUY,202,26.76,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.WDC,54.29
2021-02-02,US.PANW,BUY,82,64.559354012,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-02-12,US.IDXX,BUY,9,544.08,,SIGNAL,atr_breakout,92.09600454048112,,,100.0,94.73,FULL,,
2021-02-23,US.CAT,BUY,7,200.424683733,,SIGNAL,atr_breakout,24.106349021962764,,,100.0,49.4,OBSERVATION,,
2021-02-24,US.HON,BUY,31,193.094897822,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-02-24,US.GE,BUY,76,63.681720444,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-02-26,US.SBUX,BUY,13,95.754318403,,SIGNAL,atr_breakout,36.12611342068513,,,100.0,57.42,OBSERVATION,,
2021-03-01,US.RKLB,BUY,408,13.95,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-03-02,US.CCJ,BUY,37,17.057379255,,SIGNAL,atr_breakout,10.180924333879226,,,100.0,40.12,OBSERVATION,,
2021-03-03,US.AA,BUY,73,29.353001971,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.CAT,50.6
2021-03-04,US.FANG,BUY,33,65.767673899,,SIGNAL,atr_breakout,69.60224566114472,,,100.0,79.73,PARTIAL,,
2021-03-05,US.EMR,BUY,25,81.900697146,,SIGNAL,atr_breakout,52.527654562600645,,,100.0,68.35,PARTIAL,,
2021-03-05,US.ORLY,BUY,19,31.056666821,,SIGNAL,atr_breakout,11.102340041621845,,,100.0,40.73,OBSERVATION,,
2021-03-11,US.FTNT,BUY,70,37.506,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.ORLY,59.27
2021-03-18,US.LMT,BUY,6,311.143963789,,SIGNAL,atr_breakout,41.33940632904823,,,100.0,60.89,PARTIAL,,
2021-03-19,US.META,BUY,6,287.5845675,,SIGNAL,atr_breakout,41.54684488759624,,,100.0,61.03,PARTIAL,,
2021-03-31,US.AMAT,BUY,20,127.865578448,,SIGNAL,atr_breakout,74.94089759296828,,,100.0,83.29,FULL,,
2021-04-13,US.OKTA,BUY,10,265.32,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2021-05-03,US.COST,BUY,7,359.369012169,,SIGNAL,atr_breakout,87.04752605705427,,,100.0,91.37,FULL,,
2021-05-10,US.COPX,BUY,99,39.87566604,,SIGNAL,atr_breakout,52.88553984359644,,,100.0,68.59,PARTIAL,,
2021-05-13,US.GILD,BUY,20,56.822314908,,SIGNAL,atr_breakout,36.81996242493924,,,100.0,57.88,OBSERVATION,,
2021-05-17,US.STX,BUY,58,89.79031413,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.GILD,42.12
2021-05-20,US.INTU,BUY,6,421.031999682,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
